block_key,store_name
blck-1,DE
blck-2,DE
blck-3,DE
blck-4,DE
blck-5,DE
blck-6,DE
blck-7,DE
blck-8,DE
blck-9,DE
blck-10,DE
blck-11,DE
blck-nav-desktop,DE
blck-nav-mobile,DE
blck-nav-footer-1,DE
blck-nav-footer-2,DE
blck-nav-footer-3,DE
blck-nav-footer-4,DE
cms-block-email--customer-registration--html,DE
cms-block-email--customer-registration--text,DE
cms-block-email--customer-registration_token--html,DE
cms-block-email--customer-registration_token--text,DE
cms-block-email--customer-restore-password--html,DE
cms-block-email--customer-restore-password--text,DE
cms-block-email--customer-restored-password-confirmation--html,DE
cms-block-email--customer-restored-password-confirmation--text,DE
cms-block-email--restore-password--html,DE
cms-block-email--restore-password--text,DE
cms-block-email--availability-notification-subscription--html,DE
cms-block-email--availability-notification-subscription--text,DE
cms-block-email--availability-notification-unsubscribed--html,DE
cms-block-email--availability-notification-unsubscribed--text,DE
cms-block-email--availability-notification--html,DE
cms-block-email--availability-notification--text,DE
cms-block-email--newsletter-subscribed--html,DE
cms-block-email--newsletter-subscribed--text,DE
cms-block-email--newsletter-unsubscribed--html,DE
cms-block-email--newsletter-unsubscribed--text,DE
cms-block-email--order-confirmation--html,DE
cms-block-email--order-confirmation--text,DE
cms-block-email--order-shipped--html,DE
cms-block-email--order-shipped--text,DE
cms-block-email--company-user-invitation--html,DE
cms-block-email--company-user-invitation--text,DE
cms-block-email--company-status--html,DE
cms-block-email--company-status--text,DE
cms-block-email--merchant_relation_request_status_change--html,DE
cms-block-email--merchant_relation_request_status_change--text,DE
cms-block-email--merchant_relationship_delete--html,DE
cms-block-email--merchant_relationship_delete--text,DE
cms-block-email--multi_factor_auth_email--html,DE
cms-block-email--multi_factor_auth_email--text,DE
cms-block-email--customer_email_change_verification--html,DE
cms-block-email--customer_email_change_verification--text,DE
cms-block-email--customer_email_change_notification--html,DE
cms-block-email--customer_email_change_notification--text,DE
cms-block-email--ssp-inquiry-approved--html,DE
cms-block-email--ssp-inquiry-approved--text,DE
cms-block-email--ssp-inquiry-rejected--html,DE
cms-block-email--ssp-inquiry-rejected--text,DE
ssp-news-block-1,DE
cms-sales_rep:default,DE
sales-rep:company_unit:29,DE
